time, voltage, celcious, Error, Derivative of Err, Integral of Error, time on 
0 , 2.082344 , 28.522615 , 0.000000, 381.907654
1 , 2.081538 , 28.547155 , 0.452845, 0.000000, 0.465115, 363.205933
2 , 2.078315 , 28.645308 , 0.354692, 0.000000, 0.868883, 285.491730
3 , 2.087179 , 28.375387 , 0.624613, 0.000000, 1.358536, 502.407318
4 , 2.083956 , 28.473539 , 0.526461, 0.000000, 1.934072, 425.036652
5 , 2.082344 , 28.522615 , 0.477385, 0.000000, 2.435995, 386.779633
6 , 2.081538 , 28.547155 , 0.452845, 0.000000, 2.901110, 368.077911
7 , 2.087985 , 28.350849 , 0.649151, 0.000000, 3.452107, 526.224915
8 , 2.079121 , 28.620770 , 0.379230, 0.000000, 3.966298, 311.316986
9 , 2.079927 , 28.596231 , 0.403769, 0.000000, 4.357798, 331.730438
10 , 2.080733 , 28.571693 , 0.428307, 0.000000, 4.773835, 352.192932
11 , 2.079121 , 28.620770 , 0.379230, 0.000000, 5.177604, 313.739594
12 , 2.082344 , 28.522615 , 0.477385, 0.000000, 5.605911, 393.119476
13 , 2.086374 , 28.399925 , 0.600075, 0.000000, 6.144641, 492.349091
14 , 2.087985 , 28.350849 , 0.649151, 0.000000, 6.769254, 532.859192
15 , 2.082344 , 28.522615 , 0.477385, 0.000000, 7.332521, 396.572693
16 , 2.079927 , 28.596231 , 0.403769, 0.000000, 7.773098, 338.561035
17 , 2.080733 , 28.571693 , 0.428307, 0.000000, 8.189136, 359.023529
18 , 2.077509 , 28.669846 , 0.330154, 0.000000, 8.568366, 281.260254
19 , 2.090403 , 28.277233 , 0.722767, 0.000000, 9.094827, 596.403137
20 , 2.079121 , 28.620770 , 0.379230, 0.000000, 9.645825, 322.676056
21 , 2.083956 , 28.473539 , 0.526461, 0.000000, 10.098671, 441.365845
22 , 2.084762 , 28.449001 , 0.550999, 0.000000, 10.637401, 462.073761
23 , 2.080733 , 28.571693 , 0.428307, 0.000000, 11.127053, 364.899384
24 , 2.090403 , 28.277233 , 0.722767, 0.000000, 11.702590, 601.618652
25 , 2.087985 , 28.350849 , 0.649151, 0.000000, 12.388549, 544.097778
26 , 2.081538 , 28.547155 , 0.452845, 0.000000, 12.939547, 388.154785
27 , 2.083956 , 28.473539 , 0.526461, 0.000000, 13.429199, 448.026917
28 , 2.072674 , 28.817076 , 0.182924, 0.000000, 13.783892, 173.907196
29 , 2.083956 , 28.473539 , 0.526461, 0.000000, 14.138584, 449.445679
30 , 2.079927 , 28.596231 , 0.403769, 0.000000, 14.603699, 352.222229
31 , 2.077509 , 28.669846 , 0.330154, 0.000000, 14.970660, 294.064850
32 , 2.079121 , 28.620770 , 0.379230, 0.000000, 15.325353, 334.035095
33 , 2.079927 , 28.596231 , 0.403769, 0.000000, 15.716852, 354.448547
34 , 2.075897 , 28.718922 , 0.281078, 0.000000, 16.059277, 256.981232
35 , 2.085568 , 28.424463 , 0.575537, 0.000000, 16.487583, 493.404541
36 , 2.072674 , 28.817076 , 0.182924, 0.000000, 16.866814, 180.073044
37 , 2.076703 , 28.694384 , 0.305616, 0.000000, 17.111084, 278.715271
38 , 2.087985 , 28.350849 , 0.649151, 0.000000, 17.588467, 554.497620
39 , 2.086374 , 28.399925 , 0.600075, 0.000000, 18.213079, 516.485962
40 , 2.087985 , 28.350849 , 0.649151, 0.000000, 18.837692, 556.996094
41 , 2.072674 , 28.817076 , 0.182924, 0.000000, 19.253731, 184.846878
42 , 2.082344 , 28.522615 , 0.477385, 0.000000, 19.583885, 421.075439
43 , 2.079121 , 28.620770 , 0.379230, 0.000000, 20.012192, 343.408783
44 , 2.083956 , 28.473539 , 0.526461, 0.000000, 20.465038, 462.098602
45 , 2.086374 , 28.399925 , 0.600075, 0.000000, 21.028305, 522.116455
46 , 2.079927 , 28.596231 , 0.403769, 0.000000, 21.530228, 366.075287
47 , 2.076703 , 28.694384 , 0.305616, 0.000000, 21.884920, 288.262939
48 , 2.079927 , 28.596231 , 0.403769, 0.000000, 22.239613, 367.494049
49 , 2.083956 , 28.473539 , 0.526461, 0.000000, 22.704727, 466.577972
50 , 2.075897 , 28.718922 , 0.281078, 0.000000, 23.108498, 271.079651
51 , 2.087985 , 28.350849 , 0.649151, 0.000000, 23.573612, 566.467896
52 , 2.086374 , 28.399925 , 0.600075, 0.000000, 24.198225, 528.456238
53 , 2.081538 , 28.547155 , 0.452845, 0.000000, 24.724686, 411.725067
54 , 2.079927 , 28.596231 , 0.403769, 0.000000, 25.152992, 373.320801
55 , 2.082344 , 28.522615 , 0.477385, 0.000000, 25.593569, 433.094788
56 , 2.086374 , 28.399925 , 0.600075, 0.000000, 26.132298, 532.324402
57 , 2.084762 , 28.449001 , 0.550999, 0.000000, 26.707834, 494.214630
58 , 2.087985 , 28.350849 , 0.649151, 0.000000, 27.307909, 573.936523
59 , 2.084762 , 28.449001 , 0.550999, 0.000000, 27.907984, 496.614929
60 , 2.077509 , 28.669846 , 0.330154, 0.000000, 28.348560, 320.820648
61 , 2.084762 , 28.449001 , 0.550999, 0.000000, 28.789137, 498.377228
62 , 2.075897 , 28.718922 , 0.281078, 0.000000, 29.205175, 283.273010
63 , 2.079121 , 28.620770 , 0.379230, 0.000000, 29.535330, 362.455048
64 , 2.088791 , 28.326309 , 0.673691, 0.000000, 30.061790, 599.076233
65 , 2.080733 , 28.571693 , 0.428307, 0.000000, 30.612789, 403.870850
66 , 2.074286 , 28.768000 , 0.232000, 0.000000, 30.942944, 247.486176
67 , 2.076703 , 28.694384 , 0.305616, 0.000000, 31.211752, 306.916595
68 , 2.083150 , 28.498077 , 0.501923, 0.000000, 31.615520, 464.769135
69 , 2.075897 , 28.718922 , 0.281078, 0.000000, 32.007019, 288.876709
70 , 2.090403 , 28.277233 , 0.722767, 0.000000, 32.508942, 643.231384
71 , 2.087985 , 28.350849 , 0.649151, 0.000000, 33.194901, 585.710449
72 , 2.081538 , 28.547155 , 0.452845, 0.000000, 33.745899, 429.767487
73 , 2.075897 , 28.718922 , 0.281078, 0.000000, 34.112862, 293.088379
74 , 2.078315 , 28.645308 , 0.354692, 0.000000, 34.430748, 352.615479
75 , 2.077509 , 28.669846 , 0.330154, 0.000000, 34.773170, 333.669861
76 , 2.081538 , 28.547155 , 0.452845, 0.000000, 35.164669, 432.605042
77 , 2.077509 , 28.669846 , 0.330154, 0.000000, 35.556168, 335.235870
78 , 2.084762 , 28.449001 , 0.550999, 0.000000, 35.996742, 512.792419
79 , 2.083956 , 28.473539 , 0.526461, 0.000000, 36.535473, 494.239471
80 , 2.075897 , 28.718922 , 0.281078, 0.000000, 36.939243, 298.741150
81 , 2.075897 , 28.718922 , 0.281078, 0.000000, 37.220322, 299.303314
82 , 2.082344 , 28.522615 , 0.477385, 0.000000, 37.599552, 457.106750
83 , 2.087985 , 28.350849 , 0.649151, 0.000000, 38.162819, 595.646301
84 , 2.075897 , 28.718922 , 0.281078, 0.000000, 38.627934, 302.118530
85 , 2.084762 , 28.449001 , 0.550999, 0.000000, 39.043972, 518.886902
86 , 2.075897 , 28.718922 , 0.281078, 0.000000, 39.460011, 303.782684
87 , 2.079121 , 28.620770 , 0.379230, 0.000000, 39.790165, 382.964722
88 , 2.079121 , 28.620770 , 0.379230, 0.000000, 40.169395, 383.723206
