time, voltage, celcious, Error, Derivative of Err, Integral of Error, time on 
0 , 2.135531 , 26.903076 , 0.000000, 1000.000000
1 , 2.129084 , 27.099382 , 1.900618, 0.000000, 1.998771, 1000.000000
2 , 2.126667 , 27.172997 , 1.827003, 0.000000, 3.862581, 1000.000000
3 , 2.136337 , 26.878536 , 2.121464, 0.000000, 5.836815, 1000.000000
4 , 2.133114 , 26.976690 , 2.023310, 0.000000, 7.909202, 1000.000000
5 , 2.129084 , 27.099382 , 1.900618, 0.000000, 9.871165, 1000.000000
6 , 2.125055 , 27.222080 , 1.777920, 0.000000, 11.710434, 1000.000000
7 , 2.126667 , 27.172997 , 1.827003, 0.000000, 13.512896, 1000.000000
8 , 2.127473 , 27.148458 , 1.851542, 0.000000, 15.352168, 1000.000000
9 , 2.124249 , 27.246618 , 1.753382, 0.000000, 17.154629, 1000.000000
10 , 2.121026 , 27.344772 , 1.655228, 0.000000, 18.858932, 1000.000000
11 , 2.135531 , 26.903076 , 2.096924, 0.000000, 20.735008, 1000.000000
12 , 2.125861 , 27.197542 , 1.802458, 0.000000, 22.684700, 1000.000000
13 , 2.129890 , 27.074842 , 1.925158, 0.000000, 24.548508, 1000.000000
14 , 2.134725 , 26.927614 , 2.072386, 0.000000, 26.547279, 1000.000000
15 , 2.121026 , 27.344772 , 1.655228, 0.000000, 28.411087, 1000.000000
16 , 2.124249 , 27.246618 , 1.753382, 0.000000, 30.115391, 1000.000000
17 , 2.136337 , 26.878536 , 2.121464, 0.000000, 32.052814, 1000.000000
18 , 2.125861 , 27.197542 , 1.802458, 0.000000, 34.014774, 1000.000000
19 , 2.131502 , 27.025766 , 1.974234, 0.000000, 35.903122, 1000.000000
20 , 2.122637 , 27.295694 , 1.704306, 0.000000, 37.742393, 1000.000000
21 , 2.129890 , 27.074842 , 1.925158, 0.000000, 39.557125, 1000.000000
22 , 2.126667 , 27.172997 , 1.827003, 0.000000, 41.433205, 1000.000000
23 , 2.121026 , 27.344772 , 1.655228, 0.000000, 43.174320, 1000.000000
24 , 2.124249 , 27.246618 , 1.753382, 0.000000, 44.878624, 1000.000000
25 , 2.124249 , 27.246618 , 1.753382, 0.000000, 46.632004, 1000.000000
26 , 2.117802 , 27.442924 , 1.557076, 0.000000, 48.287231, 1000.000000
27 , 2.126667 , 27.172997 , 1.827003, 0.000000, 49.979271, 1000.000000
28 , 2.131502 , 27.025766 , 1.974234, 0.000000, 51.879890, 1000.000000
29 , 2.126667 , 27.172997 , 1.827003, 0.000000, 53.780510, 1000.000000
30 , 2.126667 , 27.172997 , 1.827003, 0.000000, 55.607513, 1000.000000
31 , 2.132308 , 27.001228 , 1.998772, 0.000000, 57.520401, 1000.000000
32 , 2.128278 , 27.123920 , 1.876080, 0.000000, 59.457825, 1000.000000
33 , 2.122637 , 27.295694 , 1.704306, 0.000000, 61.248016, 1000.000000
34 , 2.126667 , 27.172997 , 1.827003, 0.000000, 63.013672, 1000.000000
35 , 2.124249 , 27.246618 , 1.753382, 0.000000, 64.803864, 1000.000000
36 , 2.129890 , 27.074842 , 1.925158, 0.000000, 66.643135, 1000.000000
37 , 2.117802 , 27.442924 , 1.557076, 0.000000, 68.384254, 1000.000000
38 , 2.126667 , 27.172997 , 1.827003, 0.000000, 70.076294, 1000.000000
39 , 2.117802 , 27.442924 , 1.557076, 0.000000, 71.768333, 1000.000000
40 , 2.125861 , 27.197542 , 1.802458, 0.000000, 73.448097, 1000.000000
41 , 2.119414 , 27.393848 , 1.606152, 0.000000, 75.152405, 1000.000000
