time, voltage, celcious, Error, Derivative of Err, Integral of Error, time on 
0 , 2.125861 , 27.197542 , 0.000000, 901.228882
1 , 2.121026 , 27.344772 , 1.655228, 0.000000, 1.728843, 827.613831
2 , 2.126667 , 27.172997 , 1.827003, 0.000000, 3.469958, 913.501709
3 , 2.125861 , 27.197542 , 1.802458, 0.000000, 5.284689, 901.228882
4 , 2.116190 , 27.492001 , 1.507999, 0.000000, 6.939918, 753.999695
5 , 2.123443 , 27.271156 , 1.728844, 0.000000, 8.558339, 864.421875
6 , 2.124249 , 27.246618 , 1.753382, 0.000000, 10.299452, 876.690857
7 , 2.115385 , 27.516541 , 1.483459, 0.000000, 11.917872, 741.729736
8 , 2.125055 , 27.222080 , 1.777920, 0.000000, 13.548562, 888.959900
9 , 2.124249 , 27.246618 , 1.753382, 0.000000, 15.314213, 876.690857
10 , 2.122637 , 27.295694 , 1.704306, 0.000000, 17.043056, 852.152832
11 , 2.118608 , 27.418386 , 1.581614, 0.000000, 18.686016, 790.806763
12 , 2.126667 , 27.172997 , 1.827003, 0.000000, 20.390324, 913.501709
13 , 2.119414 , 27.393848 , 1.606152, 0.000000, 22.106901, 803.075806
14 , 2.125055 , 27.222080 , 1.777920, 0.000000, 23.798937, 888.959900
15 , 2.129890 , 27.074842 , 1.925158, 0.000000, 25.650475, 962.578796
16 , 2.133114 , 26.976690 , 2.023310, 0.000000, 27.624708, 1000.000000
17 , 2.125861 , 27.197542 , 1.802458, 0.000000, 29.537592, 901.228882
18 , 2.121831 , 27.320234 , 1.679766, 0.000000, 31.278704, 839.882874
19 , 2.132308 , 27.001228 , 1.998772, 0.000000, 33.117973, 999.385864
20 , 2.121831 , 27.320234 , 1.679766, 0.000000, 34.957241, 839.882874
21 , 2.117802 , 27.442924 , 1.557076, 0.000000, 36.575661, 778.537720
22 , 2.121026 , 27.344772 , 1.655228, 0.000000, 38.181812, 827.613831
23 , 2.121026 , 27.344772 , 1.655228, 0.000000, 39.837040, 827.613831
24 , 2.122637 , 27.295694 , 1.704306, 0.000000, 41.516808, 852.152832
25 , 2.119414 , 27.393848 , 1.606152, 0.000000, 43.172035, 803.075806
26 , 2.129890 , 27.074842 , 1.925158, 0.000000, 44.937691, 962.578796
27 , 2.121026 , 27.344772 , 1.655228, 0.000000, 46.727882, 827.613831
28 , 2.117802 , 27.442924 , 1.557076, 0.000000, 48.334034, 778.537720
29 , 2.119414 , 27.393848 , 1.606152, 0.000000, 49.915649, 803.075806
30 , 2.129890 , 27.074842 , 1.925158, 0.000000, 51.681305, 962.578796
31 , 2.129890 , 27.074842 , 1.925158, 0.000000, 53.606461, 962.578796
32 , 2.116190 , 27.492001 , 1.507999, 0.000000, 55.323040, 753.999695
33 , 2.126667 , 27.172997 , 1.827003, 0.000000, 56.990540, 913.501709
34 , 2.126667 , 27.172997 , 1.827003, 0.000000, 58.817543, 913.501709
35 , 2.114579 , 27.541079 , 1.458921, 0.000000, 60.460506, 729.460693
36 , 2.125055 , 27.222080 , 1.777920, 0.000000, 62.078926, 888.959900
37 , 2.121026 , 27.344772 , 1.655228, 0.000000, 63.795502, 827.613831
38 , 2.116190 , 27.492001 , 1.507999, 0.000000, 65.377113, 753.999695
39 , 2.125055 , 27.222080 , 1.777920, 0.000000, 67.020073, 888.959900
40 , 2.117802 , 27.442924 , 1.557076, 0.000000, 68.687569, 778.537720
41 , 2.126667 , 27.172997 , 1.827003, 0.000000, 70.379608, 913.501709
42 , 2.114579 , 27.541079 , 1.458921, 0.000000, 72.022568, 729.460693
43 , 2.129084 , 27.099382 , 1.900618, 0.000000, 73.702339, 950.308777
44 , 2.119414 , 27.393848 , 1.606152, 0.000000, 75.455727, 803.075806
45 , 2.116190 , 27.492001 , 1.507999, 0.000000, 77.012802, 753.999695
46 , 2.117802 , 27.442924 , 1.557076, 0.000000, 78.545341, 778.537720
47 , 2.116190 , 27.492001 , 1.507999, 0.000000, 80.077881, 753.999695
48 , 2.120220 , 27.369310 , 1.630690, 0.000000, 81.647224, 815.344788
49 , 2.123443 , 27.271156 , 1.728844, 0.000000, 83.326988, 864.421875
50 , 2.114579 , 27.541079 , 1.458921, 0.000000, 84.920868, 729.460693
51 , 2.112161 , 27.614693 , 1.385307, 0.000000, 86.342979, 692.653687
52 , 2.121831 , 27.320234 , 1.679766, 0.000000, 87.875519, 839.882874
53 , 2.121026 , 27.344772 , 1.655228, 0.000000, 89.543015, 827.613831
54 , 2.114579 , 27.541079 , 1.458921, 0.000000, 91.100090, 729.460693
55 , 2.121831 , 27.320234 , 1.679766, 0.000000, 92.669434, 839.882874
56 , 2.114579 , 27.541079 , 1.458921, 0.000000, 94.238777, 729.460693
57 , 2.116190 , 27.492001 , 1.507999, 0.000000, 95.722237, 753.999695
58 , 2.115385 , 27.516541 , 1.483459, 0.000000, 97.217964, 741.729736
59 , 2.114579 , 27.541079 , 1.458921, 0.000000, 98.689156, 729.460693
60 , 2.116190 , 27.492001 , 1.507999, 0.000000, 100.172615, 753.999695
61 , 2.113773 , 27.565617 , 1.434383, 0.000000, 101.643806, 717.191711
62 , 2.112161 , 27.614693 , 1.385307, 0.000000, 103.053650, 692.653687
63 , 2.114579 , 27.541079 , 1.458921, 0.000000, 104.475761, 729.460693
64 , 2.113773 , 27.565617 , 1.434383, 0.000000, 105.922417, 717.191711
65 , 2.114579 , 27.541079 , 1.458921, 0.000000, 107.369072, 729.460693
66 , 2.109744 , 27.688307 , 1.311693, 0.000000, 108.754379, 655.846619
67 , 2.123443 , 27.271156 , 1.728844, 0.000000, 110.274651, 864.421875
68 , 2.116190 , 27.492001 , 1.507999, 0.000000, 111.893074, 753.999695
69 , 2.108132 , 27.737385 , 1.262615, 0.000000, 113.278381, 631.307617
70 , 2.123443 , 27.271156 , 1.728844, 0.000000, 114.774109, 864.421875
71 , 2.111355 , 27.639231 , 1.360769, 0.000000, 116.318916, 680.384644
72 , 2.118608 , 27.418386 , 1.581614, 0.000000, 117.790108, 790.806763
73 , 2.108938 , 27.712847 , 1.287153, 0.000000, 119.224487, 643.576599
